"Age","RSL","Age.Error","RSL.Error","V6"
2000,0.02,2,0.03,0.9
1995,0.02,1,0.04,0.9
1986,0,5,0.03,0.9
1977,-0.07,3,0.05,1
1977,-0.01,4,0.03,0.9
1973,-0.11,3,0.05,1
1973,0,4,0.03,0.9
1969,-0.1,2,0.05,1
1965,-0.16,2,0.05,1
1961,-0.18,2,0.05,1
1961,-0.07,3,0.03,0.9
1959,-0.17,2,0.05,1
1959,-0.07,2,0.03,0.9
1957,-0.17,2,0.05,1
1956,-0.08,2,0.03,0.9
1948,-0.19,3,0.05,1
1946,-0.16,5,0.03,0.9
1944,-0.25,3,0.05,1
1942,-0.17,3,0.09,1
1940,-0.17,3,0.08,1
1939,-0.18,5,0.03,0.9
1938,-0.21,4,0.06,1
1937,-0.22,4,0.07,1
1935,-0.19,4,0.04,1
1935,-0.15,5,0.03,0.9
1934,-0.27,4,0.06,1
1933,-0.23,5,0.05,1
1931,-0.25,5,0.05,1
1927,-0.21,6,0.03,0.9
1926,-0.31,5,0.05,1
1924,-0.24,6,0.03,0.9
1922,-0.32,5,0.05,1
1916,-0.26,6,0.03,0.9
1915,-0.3,5,0.06,1
1909,-0.28,5,0.07,1
1909,-0.31,7,0.04,0.9
1904,-0.32,6,0.06,1
1903,-0.32,7,0.04,0.9
1900,-0.34,8,0.04,0.9
1890,-0.38,8,0.04,0.9
1877,-0.35,22,0.05,1
1877,-0.39,14,0.04,0.9
1865,-0.4,18,0.03,0.9
1852,-0.4,19,0.03,0.9
1849,-0.39,35,0.06,1
1840,-0.39,35,0.06,1
1833,-0.46,18,0.04,0.9
1831,-0.41,33,0.05,1
1826,-0.46,16,0.03,0.9
1822,-0.41,30,0.07,1
1811,-0.42,25,0.06,1
1793,-0.45,20,0.06,1
1785,-0.43,21,0.03,0.9
1777,-0.44,18,0.06,1
1764,-0.47,24,0.06,1
1760,-0.48,29,0.03,0.9
1751,-0.5,27,0.05,1
1739,-0.47,26,0.07,1
1727,-0.54,33,0.03,0.9
1726,-0.52,21,0.05,1
1715,-0.53,33,0.03,0.9
1697,-0.56,29,0.06,1
1692,-0.56,29,0.03,0.9
1676,-0.57,36,0.04,1
1667,-0.57,26,0.03,0.9
1657,-0.58,40,0.04,1
1650,-0.62,28,0.03,0.9
1648,-0.59,40,0.04,1
1641,-0.63,29,0.03,0.9
1639,-0.59,40,0.05,1
1629,-0.63,38,0.06,1
1623,-0.64,28,0.03,0.9
1604,-0.56,27,0.03,0.9
1591,-0.59,27,0.03,0.9
1590,-0.66,34,0.06,1
1575,-0.65,37,0.05,1
1571,-0.63,32,0.03,0.9
1559,-0.72,38,0.05,1
1542,-0.66,35,0.03,0.9
1522,-0.65,34,0.03,0.9
1515,-0.72,41,0.05,1
1490,-0.67,30,0.03,0.9
1488,-0.73,43,0.07,1
1479,-0.74,42,0.05,1
1467,-0.71,30,0.03,0.9
1461,-0.76,39,0.06,1
1447,-0.73,28,0.03,0.9
1443,-0.78,32,0.06,1
1416,-0.81,24,0.05,1
1413,-0.82,25,0.03,0.9
1392,-0.82,30,0.05,1
1388,-0.84,34,0.03,0.9
1362,-0.84,40,0.03,0.9
1360,-0.87,38,0.06,1
1345,-0.88,42,0.03,0.9
1331,-0.93,37,0.05,1
1307,-0.93,28,0.06,1
1286,-0.97,46,0.03,0.9
1284,-1.01,19,0.06,1
1262,-0.99,22,0.05,1
1261,-0.96,46,0.03,0.9
1246,-1.03,26,0.06,1
1243,-0.97,46,0.03,0.9
1231,-1.04,30,0.05,1
1215,-1,46,0.03,0.9
1213,-1.11,35,0.06,1
1200,-1.01,52,0.03,0.9
1196,-1.14,38,0.05,1
1184,-1.15,39,0.05,1
1180,-1.05,59,0.03,0.9
1167,-1.15,39,0.06,1
1167,-1.08,63,0.03,0.9
1152,-1.2,40,0.05,1
1148,-1.08,68,0.03,0.9
1131,-1.23,40,0.06,1
1131,-1.21,76,0.04,0.9
1119,-1.26,41,0.06,1
1110,-1.23,96,0.03,0.9
1097,-1.22,107,0.03,0.9
1094,-1.29,40,0.05,1
1077,-1.26,125,0.03,0.9
1075,-1.32,40,0.06,1
1058,-1.34,38,0.05,1
1044,-1.23,153,0.03,0.9
1040,-1.36,35,0.05,1
1029,-1.39,32,0.05,1
